title,time,author_id,sentiment
APEC summit could be beneficial for US-China trade,2023-11-13,59269293,Neutral
"DOJ investigation into Google may be 'favorable' for Bing, Microsoft: Bernstein",2023-11-13,55407719,Bearish
"Nvidia may see more AI upside, Android market 'modestly' better, Barclays says",2023-11-13,55407719,Bullish
Google sues to block false Bard AI ads targeting small businesses - report,2023-11-13,54324280,Bearish
"Apple leading the way as 'new tech bull market has begun,' Wedbush says",2023-11-13,55407719,Bullish
"Alphabet ditches Robinhood stake, filing shows",2023-11-13,49447318,Bearish
Google in talks to invest in AI startup Character.Ai - report,2023-11-11,52996117,Bullish
A Magnificent 7 stock crash would be one for the history books,2023-11-10,51784941,Bearish
Chinese AI start-up stockpiled Nvidia chips before US curbs kicked in - report,2023-11-10,54324280,Bearish
AWS's operating margins are 'impressive' despite continued expansion: Jefferies,2023-11-09,55407719,Neutral
"GM, Waymo, Zoox under fire as unions demand driverless car investigation",2023-11-09,53161691,Bearish
ChatGPT eats away at Google search's dominance,2023-11-09,59008794,Bearish
Magnificent 7 stock ownership hits 'critical mass',2023-11-09,51784941,Bullish
"Google, Meta get EU court win to avoid Austrian content curbs",2023-11-09,54324280,Bullish
"YouTube, TikTok to face EU queries on steps taken to protect minors - report",2023-11-09,54324280,Neutral
Google's new AI chips to be used by Anthropic as cloud war wages on,2023-11-08,55407719,Bullish
Samsung testing AI model 'Gauss' to potentially land it in products,2023-11-08,54324280,Neutral
Amazon developing AI model 'Olympus' amid race with OpenAI - report,2023-11-08,54324280,Bearish
Google exec gives insight into secretive revenue sharing deals during antitrust case,2023-11-07,55407719,Bearish
"Meta restricts political, regulated industry advertisers from using generative AI ads tools - report",2023-11-07,54324280,Neutral
Google testing 2 new generative AI features in YouTube,2023-11-07,54324280,Bullish
"Google competes with Amazon, Yelp, others in search, witness says at antitrust trial",2023-11-06,55407719,Neutral
Small caps could see a bounce next year,2023-11-06,59269293,Neutral
"OpenAI's first developer conference could see cheaper, powerful AI models",2023-11-06,54324280,Bullish
Ant Group gets Chinese government nod for public release of AI products - report,2023-11-06,54324280,Neutral
Fortnite maker Epic Games takes Google to court over antitrust claims,2023-11-06,55510976,Bearish
Elon Musk unveils Grok AI bot with real-time access to X info to rival ChatGPT,2023-11-06,55510976,Neutral
"Alibaba unveils open-source RISC-V tech chip for use in AI, cloud data centers - report",2023-11-03,54324280,Neutral
China to welcome Micron's expansion as relations with US ease - report,2023-11-03,54324280,Neutral
Elon Musk warns AI will make all jobs obsolete at some point,2023-11-03,55510976,Neutral
US lawmakers urge Biden administration for plans on China's use of open-source chip tech - report,2023-11-02,54324280,Bearish
Antitrust suit against Google making Barclays 'increasingly concerned',2023-11-01,59008794,Bearish
Baidu launches paid version AI product Ernie Bot - report,2023-11-01,54324280,Bearish
Apple does not have to be overweight in portfolios - Here is why,2023-10-31,59269293,Neutral
US Supreme Court hears social media free speech arguments,2023-10-31,59008794,Neutral
Wolfe Research ‘Cracks are starting to show’ for Magnificent 7,2023-10-31,53367831,Bearish
"Meta to offer ad-free subscriptions for Facebook, Instagram in Europe",2023-10-30,54324280,Neutral
Datadog downgraded at Baird on 'optimization headwinds',2023-10-30,54324280,Bearish
US President Biden issues executive order to manage risks from AI,2023-10-30,54324280,Neutral
G7 economies to agree on AI guiding principles for companies - report,2023-10-30,54324280,Neutral
Google invests $2B into OpenAI competitor Anthropic: report,2023-10-27,55407719,Bullish
"DataTrek: Lofty valuations aren't limited to Big Tech; cites Lilly, Mastercard",2023-10-27,53367831,Neutral
Google doesn't want to follow Yahoo down the path to 'roadkill',2023-10-26,55407719,Bearish
A hiccup or two in the big seven won’t change the trajectory of their earnings,2023-10-26,59269293,Neutral
Social media platforms warn of a softness in ad demand affecting stocks,2023-10-26,59269293,Bearish
Nasdaq falls into correction territory as tech earnings look shaky,2023-10-26,53367831,Bearish
"YouTube, Meta, TikTok aim for Indonesia e-commerce licenses - report",2023-10-26,54324280,Neutral
California’s Cruise incident could have bigger ramifications for the self-driving vehicle industry.,2023-10-25,59269293,Neutral
"AI startup CentML gets $27M in funding from Nvidia, Google - reports",2023-10-25,52996117,Bullish
"Alphabet gets rare cut as Monness, Crespi, Hardt cites weak cloud, 'murky call'",2023-10-25,55407719,Bearish
"Biggest stock movers today: Snap, Alphabet, Microsoft, Texas Instruments and more",2023-10-25,32439325,Neutral
Alphabet stock falls after 'classic mixed bag' Q3 but analysts remain positive on growth,2023-10-25,54324280,Neutral
Google to run internet cables to Pacific island nations under US-Australia pact - report,2023-10-25,54324280,Bullish
Earnings misses are being punished a lot more than beats are being rewarded,2023-10-24,59269293,Bearish
Alphabet dips as Cloud revenue disappoints despite strong overall growth,2023-10-24,427396,Bearish
"Alphabet GAAP EPS of $1.55 beats by $0.10, revenue of $76.79B beats by $980M",2023-10-24,1108356,Bullish
"Meta, Amazon, others get buy ratings at Seaport Research Partners",2023-10-24,55407719,Neutral
China's AI filings extend lead over US after Beijing's tech initiatives - report,2023-10-24,54324280,Neutral
"Google, Waze and Apple disable real-time traffic updates in Israel",2023-10-24,55510976,Bearish
"Google Q3 report has 6 'key' areas to focus on, including AI: Citi",2023-10-23,55407719,Bullish
"Amazon, Google could see combined $50B in revenue from renting out GPUs",2023-10-23,55407719,Bullish
Which 'Magnificent 7' stock should be your top portfolio holding?,2023-10-23,27427253,Neutral
Japan antitrust watchdog to investigate Google over search dominance - report,2023-10-23,55510976,Bearish
"Earnings week ahead: Amazon, Microsoft, Alphabet, Meta, Ford, GM and more",2023-10-22,32439325,Neutral
"Alphabet, Meta 'well positioned' to benefit from digital ad growth: Wedbush",2023-10-22,55407719,Bullish
"Apple, Google, Meta get US nod for mobile VR devices as FCC opens 6 GHz band",2023-10-20,54324280,Bullish
"Alibaba, Tencent among investors backing ~$340M funding for Chinese AI startup Zhipu - report",2023-10-20,54324280,Neutral
Google lays off employees in news division - report,2023-10-19,51785401,Bearish
Google to manufacture Pixel phones in India with rollout next year,2023-10-19,54324280,Bullish
OpenAI teams up with UAE's G42 to provide AI solutions in Middle East,2023-10-18,54324280,Bullish
"Google Cloud, Infosys ink pact to provide enterprises AI solutions",2023-10-18,54324280,Bullish
China's President Xi Jinping unveils global AI governance initiative amid US chip curbs,2023-10-18,54324280,Bearish
"Google, Qualcomm team up to make RISC-V chip for wearable tech",2023-10-18,54324280,Bullish
Trillion-dollar tech titans have added additional $2.4T in market cap in past year,2023-10-17,53367831,Bullish
"Google, Meta pressed by US Senator on Israel-Hamas war misinformation",2023-10-17,59008794,Bearish
"Alphabet's Q3 results likely to be aided by YouTube, search, AI: BofA",2023-10-17,55407719,Bullish
"Alibaba, Tencent join $300M funding round of Chinese AI startup Baichuan - report",2023-10-17,54324280,Neutral
"Baidu launches new AI model Ernie 4, setting stage for rivalry with OpenAI's GPT-4",2023-10-17,54324280,Bearish
"Google search deals account for 50% of all domestic searches, expert says at trial",2023-10-16,55407719,Bullish
Hennessy Funds is bullish on stocks - these in particular,2023-10-16,59269293,Neutral
"Snap reportedly lays out goals for 2024, including 20% advertising revenue growth",2023-10-13,55407719,Neutral
Google CEO gets letter from EU to remove Israeli war disinformation from YouTube,2023-10-13,55407719,Neutral
Meta and Alphabet among the stocks hitting new 52-week highs on Thursday,2023-10-12,53367831,Bullish
OpenAI plans to unveil new updates with potentially lower costs to attract developers - report,2023-10-12,54324280,Neutral
"AI's economic impact could be $15.7T by the end of the decade, BofA says",2023-10-11,55407719,Bullish
US Space Force halts generative AI usage citing security concerns: report,2023-10-11,59008794,Bearish
Amy Wu Silverman: VIX index continues to be muted amid geopolitical conflict,2023-10-11,59269293,Neutral
Southeast Asia mulls more business-friendly approach to AI rules - report,2023-10-11,54324280,Neutral
J.P. Morgan’s Stephen Parker: New highs for stocks by mid-2024,2023-10-10,59269293,Neutral
"Google to face AI backlash, Netflix getting into live sports: 2024 predictions",2023-10-10,59008794,Bearish
Sonos dips amid loss in Google patent case (update),2023-10-10,52996117,Bearish
"Apple licensing, services to drive sales; risk amid Google suit, BofA says",2023-10-10,59008794,Bearish
"Microsoft leads the AI race, according to Wedbush",2023-10-10,59008794,Bearish
Bank of England warns on U.S. tech stock valuations,2023-10-10,51784941,Bearish
"Google search deal may be worth $20B annually to Apple, Bernstein says",2023-10-09,55407719,Bullish
Arm Holdings flat even as Wall Street banks start coverage on British chip firm,2023-10-09,55407719,Neutral
EU official sees convergence with Japan in AI arena- report,2023-10-09,54324280,Neutral
Tech's ambitions for sports are growing. Where does it end?,2023-10-07,55407719,Neutral
"Apple, Microsoft, others to help spur upcoming 'massive' tech rally, Wedbush says",2023-10-06,59008794,Bullish
Microsoft said to debut AI chip next month in an effort to cut costs,2023-10-06,55407719,Bearish
"Google rejects Canadian regulation, may suspend news links",2023-10-06,59008794,Bearish
"South Korean regulator mulls potential fines on Apple, Google over app market practices",2023-10-06,54324280,Bearish
Google's new Pixel AI features could prompt Apple to boost AI development,2023-10-06,59008794,Neutral
"India demands YouTube, others to guarantee no child abuse content on platforms",2023-10-06,55407719,Bearish
OpenAI mulls making own AI chips - report,2023-10-06,54324280,Neutral
Wireless carriers unwilling to risk Google contracts refused new app on Samsung device,2023-10-05,59008794,Bearish
Google to give German users better control over data,2023-10-05,59008794,Neutral
"Amazon, Microsoft in crosshairs of British regulator over cloud services inquiry",2023-10-05,55407719,Bearish
"Google's latest AI fan is Monness, Crespi, Hardt; points to shiny new Pixel devices",2023-10-05,59008794,Bullish
Apple discussed using DuckDuckGo to replace Google for Safari search,2023-10-05,55407719,Bearish
Alphabet senior vice president discloses sale of over 16K shares,2023-10-04,59062064,Bearish
"Zoom slips even as Baird says AI, Docs should boost platform",2023-10-04,55407719,Bearish
Google adds generative AI to voice assistant,2023-10-04,59008794,Bullish
"Google launches Pixel 8 phones at $699 and $999, second version of Pixel Watch (updated)",2023-10-04,427396,Bullish
Google-backed Anthropic to raise $2 billion in latest funding,2023-10-04,52365730,Bullish
Correction could be coming for mega caps - Wells Fargo,2023-10-03,53367831,Bearish
"Amazon, Microsoft may face UK investigation over cloud dominance",2023-10-03,59008794,Bearish
Defiance ETF’s CEO: Mega-cap stocks are cheaper and still attractive to buy,2023-10-03,59269293,Bullish
"Google gets another thumbs up on AI, this time from Piper Sandler",2023-10-03,59008794,Bullish
Nvidia said to consider further push into cloud services space,2023-10-03,55407719,Neutral
"Google, Amazon well-positioned to capture massive AI market, Morgan Stanley says",2023-10-02,59008794,Bullish
Microsoft CEO testifies that Google will expand search dominance with AI,2023-10-02,59008794,Bearish
'Hey above-median spender' - Jefferies highlights software/net picks,2023-10-01,51784941,Neutral
Bill Ackman at the CNBC Delivering Alpha Conference: We own businesses with pricing power,2023-09-29,59269293,Neutral
"Meta's new AI assistant trained on Facebook, Instagram public posts - report",2023-09-29,54324280,Neutral
"Microsoft considered Apple investment in 2016 to gain Bing share, exec says",2023-09-28,55407719,Neutral
ChatGPT can now search the internet in real-time,2023-09-28,54324280,Neutral
"Amazon slips even as DA Davidson reiterates buy rating, citing AI prowess",2023-09-26,55407719,Bearish
"HSBC starts Pinterest, Bumble with Buy, Snap gets Reduce rating",2023-09-26,54324280,Neutral
"Apple exec reportedly set to testify in Google antitrust case, call it best search engine",2023-09-26,55407719,Bullish
Getty launches 'commercially safe' generative AI tool for images,2023-09-26,54324280,Neutral
Meta's personality AI chatbots could launch this week with eye on younger users - report,2023-09-25,54324280,Neutral
"Thailand's Prime Minister expects $5B investment from Google, Microsoft, Tesla - report",2023-09-25,54324280,Bullish
Amazon to invest up to $4B in AI startup Anthropic,2023-09-25,54324280,Bearish
"Amazon, Google, Microsoft could be required to disclose cloud customer info",2023-09-22,55407719,Bearish
Google says 'no change' to Broadcom relationship despite report (updated),2023-09-21,55407719,Neutral
Semiconductors sink as Arm breaks below IPO price,2023-09-21,55407719,Bearish
"News about Broadcom, Google supply relationship 'patently false' - report (update)",2023-09-21,52996117,Neutral
"Cisco, Splunk deal could usher in 'tidal wave' of M&A, Wedbush says",2023-09-21,55407719,Neutral
"OpenAI to launch DALL·E 3, its latest text-to-image AI tool",2023-09-21,54324280,Neutral
Pinterest rises as Wall Street impressed by investor day comments,2023-09-20,55407719,Neutral
Meta's WhatsApp adds rival payment services in app in India; launches Flows,2023-09-20,54324280,Bearish
"Google' AI chatbot Bard can connect with company's apps, services in new update",2023-09-19,54324280,Bullish
Google makes effort at EU's top court to overturn $2.6B antitrust fine - report,2023-09-19,54324280,Bearish
"Amazon, Alphabet, Meta top tech names at Wedbush on AI growth",2023-09-19,55407719,Bullish
"UK antitrust agency lays out AI principles; will seek input from Microsoft, others",2023-09-18,55407719,Neutral
Sonos Group gains amid ruling in patent dispute with Google (update),2023-09-15,52996117,Bearish
California reaches $93M settlement with Google over violations of location privacy,2023-09-14,56228617,Bearish
Google adds life to Chromebooks with extended support,2023-09-14,427396,Bullish
"Senate AI summit gathers tech leaders, power players for closed-door policy talks",2023-09-13,427396,Neutral
California Senate passes bill requiring large companies to report carbon footprint,2023-09-12,543215,Neutral
US DOJ says Google pays $10B yearly to maintain monopoly - report,2023-09-12,54324280,Bearish
The first Big Tech monopoly case in decades: DOJ vs. Google,2023-09-12,27427253,Bearish
Arm said to be near enough support to price IPO at top of range (update),2023-09-11,55407719,Bullish
Apple's big event may be 'quiet.' Why Wall Street thinks that's a good thing.,2023-09-10,55407719,Neutral
"Microsoft, Nvidia, Meta among companies attending Congressional hearings on AI",2023-09-08,55407719,Neutral
"Amazon, Google, Microsoft seen as big AI winners, with Apple lagging: Needham",2023-09-07,55407719,Bullish
Google to mandate 'prominent' disclosure of AI content in political ads,2023-09-07,52365730,Neutral
Apple slips as China reportedly orders government agencies to stop using iPhones,2023-09-06,55407719,Bearish
"DOJ investigation into Google search deals has 4 potential outcomes, BofA says",2023-09-06,55407719,Bearish
"Taiwan Semi Chairman gives updates on ARM investment, Arizona, German plants",2023-09-06,55407719,Neutral
Google tentatively settles U.S. Play Store lawsuit,2023-09-06,51785401,Neutral
"Alphabet, Amazon, Apple listed among 'gatekeepers' by European Commission",2023-09-06,55407719,Neutral
Rumble ticks lower even as CEO says he has no plans to sell stock when lock-up expires,2023-09-05,52996117,Neutral
"Arm updates IPO filing, estimates pricing between $47 and $51 per share",2023-09-05,55407719,Neutral
AI to represent 11% of healthcare budgets in 2024 - Morgan Stanley,2023-09-04,52867120,Bullish
ARM is set to go public soon. The hype may not be warranted.,2023-09-02,55407719,Neutral
"Canada tweaks Online News Act legislation to address Meta, Google concerns",2023-09-01,55407719,Neutral
Google DeepMind co-founder says US should enforce AI standards for ethical use,2023-09-01,55407719,Neutral
Google sets Oct. 4 to roll out Pixel 8 phones,2023-08-30,427396,Bullish
Baidu among first companies to get China nod for AI models -report,2023-08-30,54324280,Neutral
"Google 'flexing AI muscle' at Cloud Next with partnerships, updates: analysts",2023-08-30,55407719,Bullish
JOLTS shows megacaps are still mega-dependent on the Fed,2023-08-30,51784941,Neutral
"Google Cloud Next announcements: partnerships, AI tools, chips and more",2023-08-29,55407719,Bullish
Ginkgo Bioworks inks AI partnership with Google Cloud,2023-08-29,52867120,Bullish
"Wedbush thinks tech stocks will rally into year end, led by Amazon, Alphabet, Meta",2023-08-29,55407719,Bullish
"Meta, Google could see new digital services tax in New Zealand in 2025 - report",2023-08-29,54324280,Bearish
"Meta, Google, others said to meet with Sen. Schumer on AI next month",2023-08-28,55407719,Neutral
SentinelOne may be worth $26 a share in takeover- analyst,2023-08-28,52996117,Bullish
Hedge and mutual funds rotate from tech; see the stocks they love and shun,2023-08-28,51784941,Neutral
Databricks in discussions to raise funds at $43B valuation - report,2023-08-27,52996117,Neutral
"Google's AI 'counteroffensive taking shape,' Baird says",2023-08-25,55407719,Bullish
Meta launches AI model for coding,2023-08-25,54324280,Bearish
AI stocks sink as Nvidia-led euphoria fades,2023-08-24,55407719,Bearish
"Google, Amazon among 13 potential AI catalysts for rest of 2023: Morgan Stanley",2023-08-24,55407719,Bullish
"Apple is most 'under-owned' large cap tech stock, Morgan Stanley says",2023-08-23,55407719,Bearish
Megacap stocks setting up for potential breakout - Wells Fargo,2023-08-23,51784941,Bullish
Five metrics for AI trendspotting,2023-08-23,51784941,Neutral
Meta unveils all-in-one AI model for speech and text translations,2023-08-22,54324280,Neutral
SentinelOne more likely to be sold to private equity - analyst,2023-08-22,52996117,Neutral
"Arm files IPO, set to trade on Nasdaq",2023-08-21,55407719,Neutral
Intel to cut 140 jobs at California sites,2023-08-21,54324280,Neutral
"YouTube sets up Music AI incubator, teaming with Universal Music",2023-08-21,427396,Bullish
Google mulls offloading another office campus in California - report,2023-08-21,54324280,Bearish
Some of Disney's TV assets could get sold. Could Apple be the savior?,2023-08-19,55407719,Neutral
Arm IPO documents reportedly show annual revenue dip,2023-08-18,55407719,Bearish
Alphabet's Verily mulls cost cuts amid pressure on Other Bets to curtail spending- report,2023-08-17,54324280,Bearish
"Apple, Google, Microsoft others prodded by Democratic senator on AI safety",2023-08-16,55407719,Neutral
"Larry Robbins' Glenview Capital exits Alibaba in Q2, picks up stake in Warner Bros.",2023-08-15,56228617,Neutral
"Coatue Management takes new stake in Oracle, exits GameStop, trims Tesla, adds to Amazon",2023-08-15,56228617,Bearish
"Streaming hits new top share of TV usage, while linear viewing finds new low",2023-08-15,427396,Neutral
"Google's AI model Gemini to power Bard, enterprise and cloud products - report",2023-08-15,54324280,Bullish
"Tudor Investment boosts stakes in Big Tech, exits VMware, BAH, HRL",2023-08-15,54370868,Bullish
"3G Capital exits stake in NVIDIA in Q2, takes in new positions in Carvana, JD.com",2023-08-14,56228617,Neutral
"Daniel Loeb's Third Point adds Activision, Black Knight; exits Colgate Palmolive",2023-08-14,49447318,Neutral
"Bill Ackman's Pershing Square adds to Alphabet stake in Q2, trims Chipotle, Lowe's",2023-08-14,56228617,Bullish
"Tiger Global reduces holdings in tech, boosts stakes in Grab, Apollo, adds Eli Lilly",2023-08-14,49447318,Neutral
Should publishers be required to use a disclaimer when using AI?,2023-08-14,27427253,Neutral
"Tech stocks have slowed down. It likely won't last, Wedbush says.",2023-08-12,55407719,Neutral
"Twilio rises as Argus upgrades after Q2 results, guidance",2023-08-11,55407719,Neutral
"Big expansion for Cruise, Waymo driverless vehicles in San Francisco",2023-08-11,27427253,Neutral
"Uber Crowded, Battleground and Sweet 16 stock portfolios from Jefferies",2023-08-11,51784941,Neutral
Biden issues order restricting certain US tech investments in China; UK mulls,2023-08-10,54324280,Bearish
China wants all apps to file business details - report,2023-08-09,54324280,Neutral
"Google, Universal Music working on licensing deal for AI deepfake songs",2023-08-09,55510976,Bullish
Amazon is latest heavyweight in talks to anchor Arm IPO - report,2023-08-09,55510976,Bearish
Microsoft to bring Bing AI chat to other browsers,2023-08-08,54324280,Bearish
Meta faces fine in Norway over privacy violations - report,2023-08-08,54324280,Bearish
Remote work? Zoom tells employees to return to office,2023-08-07,27427253,Neutral
Google wins limits to antitrust case over default search deals,2023-08-04,427396,Bullish
"Goldman in, Microsoft out of BofA Alpha Surprise Portfolio",2023-08-03,51784941,Neutral
Microsoft says Russia-linked hackers targeted organizations via Teams phishing attacks,2023-08-03,54324280,Neutral
Chinese tech stocks dip after draft rules by China to curb internet use by minors,2023-08-02,54324280,Bearish
Chip design firm Arm said to target $60B IPO next month,2023-08-02,55407719,Neutral
"Stick to U.S. stocks that offer experience over hope, Goldman says",2023-08-02,51784941,Neutral
"India's cricket body woos Amazon, Google for $750M media rights - report",2023-08-02,54324280,Bullish
Hedge fund Third Point reducing single name short positions,2023-08-01,52996117,Neutral
"Datadog 'out of the doghouse' with flagship conference, Q2 results on tap: analyst",2023-08-01,55407719,Bullish
Meta plans launch of AI bots with different personas in attempt to retain users - report,2023-08-01,54324280,Neutral
"Pinterest likely to show user growth, better execution amid 'more stable' ad market",2023-07-28,55407719,Bullish
"Google smartphone shipments surge in US in Q2, overall market slumps",2023-07-28,55407719,Bullish
"Capgemini to invest €2B in AI, H1 revenue rises on momentum in cloud, data and AI",2023-07-28,54324280,Bullish
Inside Alphabet: Cloud keeps flexing growth as Search plows away,2023-07-26,427396,Bullish
"Microsoft, Google among companies to create AI-focused Frontier Model Forum",2023-07-26,55407719,Bullish
"Biggest stock movers today: XPeng, Silicon Motion, Alphabet, Tilray and more",2023-07-26,32439325,Neutral
"Samsung unveils 5th gen Galaxy Z foldables, Watch6 with fall detection and Tab S9",2023-07-26,54324280,Neutral
Inside Microsoft: Cloud continues to be a stalwart for the tech giant,2023-07-26,55407719,Neutral
Alibaba's cloud unit clients to get access to Meta's AI model Llama - report,2023-07-26,54324280,Neutral
"Alphabet earnings call: Full speed on AI, with refocused teams",2023-07-25,427396,Bullish
Alphabet gains on revenue beat; CFO Porat adds on new roles,2023-07-25,427396,Bullish
Spotify sinks even as it announces increase in US premium prices (updated),2023-07-24,55407719,Neutral
Google directed to pay $339M in video-casting patent case,2023-07-24,427396,Bearish
Social media monetization? Elon Musk rebrands Twitter to 'X',2023-07-24,27427253,Neutral
"Earnings week ahead: Microsoft, Google, Meta, Boeing, Coca-Cola and more",2023-07-21,32439325,Neutral
BofA: Movement in S&P 500 has broadened out after Big Tech-led rally early in the year,2023-07-21,53367831,Neutral
"Hackers using AI to spread disinformation, malicious software - report",2023-07-21,54324280,Bearish
"Google, Microsoft among 7 firms pledging AI safeguards, says White House",2023-07-21,54324280,Neutral
AI race in full swing as Google goes into overdrive to power Gemini,2023-07-21,27427253,Bullish
Google pitches AI tool to news publishers to assist journalists - report,2023-07-20,54324280,Bullish
3 stocks to watch from the Communication Services sector as earnings approach,2023-07-19,1108356,Neutral
Apple gains as said to have built ChatGPT-style bot for employees,2023-07-19,55407719,Neutral
"UN Security Council discusses AI risks of security, misinformation",2023-07-19,54324280,Neutral
EU's push for tougher AI rules sees tepid response in Asian countries - report,2023-07-18,54324280,Neutral
UN to discuss AI risks in 1st formal meet on the new tech - report,2023-07-17,54324280,Neutral
"Google jumps after launching AI bot Bard in Europe, Brazil",2023-07-13,54324280,Bullish
China shifts focus to generative AI with new interim rules,2023-07-13,54324280,Neutral
